years,el Raval,el Barri Gòtic,la Barceloneta,"Sant Pere, Santa Caterina i la Ribera",el Fort Pienc,la Sagrada Família,la Dreta de l'Eixample,l'Antiga Esquerra de l'Eixample,la Nova Esquerra de l'Eixample,Sant Antoni,el Poble-sec,la Marina del Prat Vermell,la Marina de Port,la Font de la Guatlla,Hostafrancs,la Bordeta,Sants - Badal,Sants,les Corts,la Maternitat i Sant Ramon,Pedralbes,"Vallvidrera, el Tibidabo i les Planes",Sarrià,les Tres Torres,Sant Gervasi - la Bonanova,Sant Gervasi - Galvany,el Putxet i el Farró,Vallcarca i els Penitents,el Coll,la Salut,la Vila de Gràcia,el Camp d'en Grassot i Gràcia Nova,el Baix Guinardó,Can Baró,el Guinardó,la Font d'en Fargues,el Carmel,la Teixonera,Sant Genís dels Agudells,Montbau,la Vall d'Hebron,la Clota,Horta,Vilapicina i la Torre Llobeta,Porta,el Turó de la Peira,Can Peguera,la Guineueta,Canyelles,les Roquetes,Verdun,la Prosperitat,la Trinitat Nova,Torre Baró,Ciutat Meridiana,Vallbona,la Trinitat Vella,Baró de Viver,el Bon Pastor,Sant Andreu,la Sagrera,el Congrés i els Indians,Navas,el Camp de l'Arpa del Clot,el Clot,el Parc i la Llacuna del Poblenou,la Vila Olímpica del Poblenou,el Poblenou,Diagonal Mar i el Front Marítim del Poblenou,el Besòs i el Maresme,Provençals del Poblenou,Sant Martí de Provençals,la Verneda i la Pau
2013-01-01,2614,3811,4212,3534,3038,3029,4296,3521,3158,2926,2495,0,2152,0,0,0,2575,2633,3597,3362,4914,0,4384,4509,3866,3899,3298,3109,0,2890,3264,3145,2608,0,2474,0,1730,2013,2051,2051,0,0,2354,0,0,0,0,0,1733,1733,0,2001,0,1426,1426,1426,1612,0,0,2330,2423,0,0,2482,2509,0,0,3446,4722,0,0,0,0
2014-01-01,2404,3791,4168,3682,3022,2959,4528,3551,3292,3000,2518,0,2080,2580,2719,2323,2392,2511,3712,3296,5185,0,4472,4742,3883,4188,3256,2969,2317,2682,3308,3068,2521,2368,2476,2460,1732,1869,2044,2044,0,0,2255,1971,2010,1719,1719,0,1538,1538,1971,1910,0,1281,1281,1281,1557,0,1879,2379,2218,0,2362,2602,2246,2779,4795,3304,5646,2002,3069,0,1983
2015-01-01,2775,4236,4043,3827,3228,3157,4961,3999,3340,3369,2815,0,2174,2582,2742,2361,2607,2816,3825,3281,5436,0,4704,5145,4235,4484,3465,2862,2252,2825,3655,3219,2841,2598,2506,0,1693,1870,2140,2140,0,0,2192,2193,2174,1887,1887,0,1529,1529,1710,1861,0,1212,1212,1212,1394,0,0,2391,2498,2216,2401,2619,2505,2956,4728,3606,6506,1951,3397,2273,2023
2016-01-01,3251,4813,4683,4501,4012,3746,5949,4747,4085,3817,2771,0,2348,0,2970,2829,3127,3181,4469,3875,5689,0,5824,4956,4926,4797,3956,3363,2624,3204,4170,3759,3087,2755,2587,2652,2077,2012,2125,2125,0,0,2453,2480,2431,2176,2176,0,1644,1644,1853,1940,0,1313,1313,1313,1438,0,1827,2757,2696,2473,2720,3159,3144,3761,5365,4223,5891,2222,3310,2547,2281
2017-01-01,4029,4884,5165,5152,4107,4209,6332,5091,4465,4591,3936,0,2723,3510,3912,3171,3469,3666,4821,4339,6340,0,6042,5689,5029,5306,4289,3541,0,3561,4426,4391,3493,2859,3164,3206,2242,2500,0,0,0,0,2970,2774,2705,0,0,0,1885,1885,2331,2213,0,1498,1498,1498,1776,0,0,3210,3296,0,3029,3561,3524,4076,5402,4324,6402,2786,3194,2759,2443
2018-01-01,4034,4660,4815,4689,4500,4202,6128,5081,4797,4530,4083,0,2879,3457,3398,3153,3429,3556,4650,4057,6306,0,5983,5607,5424,5524,4505,3904,0,3973,4791,4376,3574,3005,3468,0,2382,2547,2799,2799,0,0,2945,3086,2929,0,0,0,2009,2009,2420,2489,0,0,0,0,1764,0,2339,3206,3263,2828,3279,3654,3803,4254,5321,4428,6836,2822,3362,2926,2672
2019-01-01,4591,3811,4849,4772,4250,4173,5514,5197,4634,4412,3911,0,2819,3893,3915,3114,3183,3642,4469,4043,6197,3531,5743,6460,5319,5560,4541,3609,3236,4021,4526,4133,3798,3124,3278,3236,2768,2650,2867,2867,0,0,3037,2977,2941,2620,2620,2681,2176,2176,2407,2684,2275,1727,1727,1727,1926,0,2414,3317,3286,3272,3560,3605,3822,4287,5019,4583,6892,2759,3407,3022,2561
2020-01-01,3587,4717,4763,4837,4091,4088,5395,5190,4312,4219,3716,0,2861,3856,3467,3128,3239,3705,4654,3918,6460,3579,5558,5749,5115,5326,4532,3845,3420,3547,4343,4399,3611,3339,3304,3705,2532,3138,2889,2889,3293,3293,2953,2953,2754,2534,2534,2498,2097,2097,2503,2446,2200,1690,1690,1690,1809,0,2380,3161,3250,3271,3503,3555,3767,4567,5267,4557,6237,2547,2994,2867,2389
2021-01-01,3409,4351,4672,4778,4428,4060,5666,5234,4238,4170,3670,0,2588,3281,3493,3255,3265,3621,4563,3881,5976,4263,5645,6024,5428,5371,4344,4096,2881,3885,4494,4149,3867,3148,3204,3370,2448,2688,2776,2776,0,0,2979,2865,2908,2375,2375,2778,2085,2085,2319,2385,2105,1776,1776,1776,1763,0,2300,3294,3173,3007,3424,3741,3645,4268,5228,4469,6400,2368,3122,2864,2321
2022-01-01,3374,5186,4732,4705,4644,4279,6267,5361,4389,4231,3599,0,2778,3673,3391,3271,3361,3687,4690,4305,6406,3888,5925,5882,5364,5498,4493,4212,2864,4233,4882,4390,4008,2913,3324,3536,2495,2665,2470,2470,0,0,3045,2987,2970,2470,2470,2982,1997,1997,2502,2474,2147,1626,1626,1626,1974,0,2235,3371,3519,3274,3377,3725,3644,4541,5226,4780,7524,2184,3319,2975,2606
